seed,split,space,cosine,l2
32,bootstrap,raw,0.834384024143219,57.25936508178711
32,bootstrap,z,0.9992177486419678,0.4663340449333191
33,bootstrap,raw,0.8367782235145569,56.95627212524414
33,bootstrap,z,0.9999313950538635,0.1408410370349884
34,bootstrap,raw,0.8379744291305542,56.48542022705078
34,bootstrap,z,0.9984076619148254,0.6272773146629333
35,bootstrap,raw,0.8317188024520874,58.03937911987305
35,bootstrap,z,0.9993315935134888,0.36807575821876526
36,bootstrap,raw,0.832006573677063,57.97541427612305
36,bootstrap,z,0.9998365640640259,0.2546320855617523
37,bootstrap,raw,0.8368150591850281,57.192657470703125
37,bootstrap,z,0.9999962449073792,0.0628192275762558
38,bootstrap,raw,0.834374725818634,57.78583526611328
38,bootstrap,z,0.999687671661377,0.24952194094657898
39,bootstrap,raw,0.8293319344520569,57.83317947387695
39,bootstrap,z,0.9992101788520813,0.4951034486293793
40,bootstrap,raw,0.8299627304077148,57.767391204833984
40,bootstrap,z,0.9986237287521362,0.6038983464241028
41,bootstrap,raw,0.8379051685333252,57.223907470703125
41,bootstrap,z,0.9998176097869873,0.2690630853176117
42,bootstrap,raw,0.8258708715438843,59.176300048828125
42,bootstrap,z,0.9991263747215271,0.41573405265808105
43,bootstrap,raw,0.8310587406158447,58.033302307128906
43,bootstrap,z,0.9998661279678345,0.18410278856754303
44,bootstrap,raw,0.8285712599754333,58.43681716918945
44,bootstrap,z,0.9988387227058411,0.5502214431762695
45,bootstrap,raw,0.8359525203704834,57.23968505859375
45,bootstrap,z,0.9998705387115479,0.17085006833076477
46,bootstrap,raw,0.8317661285400391,58.03226852416992
46,bootstrap,z,0.9996199607849121,0.2853442430496216
47,bootstrap,raw,0.8352928161621094,57.138092041015625
47,bootstrap,z,0.9988828301429749,0.5337901711463928
48,bootstrap,raw,0.8353500962257385,57.447731018066406
48,bootstrap,z,0.9999961853027344,0.11805177479982376
49,bootstrap,raw,0.8363940715789795,56.8232307434082
49,bootstrap,z,0.9998096823692322,0.20051850378513336
50,bootstrap,raw,0.8366966247558594,57.02390670776367
50,bootstrap,z,0.9994652271270752,0.36130931973457336
51,bootstrap,raw,0.8334923982620239,57.60997772216797
51,bootstrap,z,0.9995017051696777,0.4115806818008423
52,bootstrap,raw,0.8339797258377075,57.409706115722656
52,bootstrap,z,0.9989235401153564,0.4878559112548828
53,bootstrap,raw,0.8337817788124084,57.51286697387695
53,bootstrap,z,0.9998656511306763,0.1890043318271637
54,bootstrap,raw,0.8375716209411621,56.93059539794922
54,bootstrap,z,0.9998218417167664,0.18820656836032867
55,bootstrap,raw,0.8325139284133911,58.01874542236328
55,bootstrap,z,0.9999762177467346,0.12162861227989197
56,bootstrap,raw,0.828633189201355,58.56825637817383
56,bootstrap,z,0.999264121055603,0.3910234272480011
57,bootstrap,raw,0.8338679075241089,57.347862243652344
57,bootstrap,z,0.9993458986282349,0.365408718585968
58,bootstrap,raw,0.8317456245422363,57.85375213623047
58,bootstrap,z,0.999042272567749,0.5243363976478577
59,bootstrap,raw,0.834991455078125,57.3575553894043
59,bootstrap,z,0.9994227290153503,0.3598566949367523
60,bootstrap,raw,0.8375443816184998,57.009151458740234
60,bootstrap,z,0.9992161989212036,0.3952034115791321
61,bootstrap,raw,0.8352291584014893,57.28961181640625
61,bootstrap,z,0.9996506571769714,0.262683242559433
62,bootstrap,raw,0.8353837728500366,57.45039367675781
62,bootstrap,z,0.9991297125816345,0.4292346239089966
63,bootstrap,raw,0.8360851407051086,57.251800537109375
